epoch,train_loss,valid_loss
1,0.2958726058714092,0.02014741487801075
2,0.02285435287922155,0.022003814578056335
3,0.017707876628264785,0.02003427012823522
4,0.015125480669667013,0.021958414232358336
5,0.013058790267677978,0.01955077378079295
6,0.012037018470437033,0.019792064325883985
7,0.01159170335449744,0.017970961751416326
8,0.011080221214797348,0.020442130276933312
9,0.010683944274205714,0.016908218851312995
10,0.011120073759229854,0.022132360376417637
11,0.010174440423725173,0.018852841341868043
12,0.009406122866494115,0.0197526840493083
13,0.009492759854765609,0.0200177279766649
14,0.00831119078793563,0.01916703418828547
