epoch,train_loss,valid_loss
1,0.23511192178915416,0.18569865184170858
2,0.15451965481042862,0.1047482682125909
3,0.0810813849998845,0.06089326313563755
4,0.06777829257032228,0.055294811725616455
5,0.059039942565418425,0.052795269659587314
6,0.05587358017348581,0.05203612308417048
7,0.052760015581808394,0.051713310182094574
8,0.04843776702644333,0.052530424403292794
9,0.04818972031630221,0.051098892731325965
10,0.05054291704344371,0.05133054618324552
11,0.047613779585512855,0.05156922952405044
12,0.04661189631692001,0.05121061099427087
13,0.045806574295201,0.051378844039780755
14,0.045550871078693676,0.05104256634201322
