epoch,train_loss,valid_loss
1,0.48798505559800165,0.33803147077560425
2,0.35125557392362566,0.18158163556030818
3,0.09844673543222367,0.019777377136051655
4,0.04559209673768944,0.020089281323765005
5,0.04269022151591286,0.01920061744749546
6,0.04096996064283072,0.01712737631584917
7,0.03776684795166292,0.01771491420056139
8,0.03732044382819107,0.018201499113014767
9,0.03649629603716589,0.018185770006052086
10,0.036210628581188974,0.018926878592797687
11,0.03548082469829491,0.01699789161128657
