epoch,train_loss,valid_loss
1,0.4430975748433007,0.37653464504650663
2,0.2966572703823211,0.19717528351715632
3,0.16424646163507114,0.08804231137037277
4,0.08989430937383856,0.058670543666396825
5,0.0730611691990542,0.05482705469642367
6,0.06804506980355769,0.05164538057787078
7,0.0605249951283137,0.049515108444861004
8,0.057064208896860244,0.04881985991128853
9,0.056715004175664885,0.046688576095870564
10,0.05509002781694844,0.0456859144781317
11,0.05178567450789232,0.04544237841452871
12,0.050108857541566805,0.044756610079535415
13,0.04869920742653665,0.04591793939471245
14,0.05145271358981965,0.045150093867310455
15,0.048120389226824045,0.04503517385040011
16,0.047543369322305636,0.04447708997343268
17,0.04667508661273926,0.044365739982043
