epoch,train_loss,valid_loss
1,0.23617347003892064,0.13316064327955246
2,0.109959174413234,0.07172400876879692
3,0.08354305441025645,0.060438561253249645
4,0.07362016581464559,0.05590470787137747
5,0.06323532084934413,0.05334969609975815
6,0.05666817817837,0.051993316039443016
7,0.05860013631172478,0.05098114442080259
8,0.053702120669186115,0.050167469307780266
9,0.05232914327643812,0.04967597499489784
10,0.051787057192996144,0.04912693798542023
11,0.05283496167976409,0.04869497986510396
12,0.050624472089111805,0.048653372563421726
13,0.05049179628258571,0.04869916895404458
