epoch,train_loss,valid_loss
1,0.839273287663384,0.32706413737365175
2,0.1966299567194212,0.10024344601801463
3,0.12199727327577652,0.08447974813835961
4,0.10248767933438695,0.06848626796688352
5,0.0827057333219619,0.05167582843984876
6,0.0599036297746121,0.034185681492090225
7,0.038278299960352126,0.0220640700842653
8,0.02745572966893041,0.02305325899007065
9,0.026046356274968104,0.02359509002417326
10,0.02571457087816227,0.022438909459326948
11,0.024963841182253664,0.02367698893483196
12,0.02297533540764735,0.022816085389682224
