epoch,train_loss,valid_loss
1,0.44020014859381174,0.2996478761945452
2,0.23455291214798177,0.022661032820386545
3,0.04307364113628864,0.02292160303997142
4,0.041262237015106375,0.019918347442788736
5,0.03904691019228527,0.022998028567859104
6,0.03664693934103799,0.020038405965481485
7,0.03670795631432344,0.02066045374210392
8,0.03549197916355398,0.02085560653358698
9,0.03648848527125896,0.01875463394182069
10,0.03542872932222155,0.02048214418547494
11,0.03466771789900367,0.02063704069171633
12,0.033630674557080346,0.020007367245852947
13,0.03407847108171573,0.02008970414421388
14,0.03396883000811887,0.020183508417436054
