epoch,train_loss,valid_loss
1,0.8874014540324136,0.6426503658294678
2,0.3987469657782524,0.09587307912962777
3,0.13420245122341884,0.07209449048553195
4,0.12125951962338553,0.06752549644027438
5,0.118577732098481,0.06508123342479978
6,0.11520944133637444,0.06280932256153651
7,0.08658183159099685,0.037265912762710025
8,0.03094165956985856,0.043338274849312644
9,0.0282080178222959,0.03338742309382984
10,0.025191697750299696,0.03622201723711831
11,0.02347795898833918,0.03459185840828078
12,0.023538604119999543,0.0333636754325458
13,0.02251068629058344,0.033544953646404405
14,0.0192597894264119,0.03404521383345127
