epoch,train_loss,valid_loss
1,0.8052718005483113,0.39444030608449665
2,0.27590808804546085,0.16844232486827032
3,0.19334819960215735,0.140158973634243
4,0.13896046295052483,0.06841977259942464
5,0.04373005934296146,0.031969735132796426
6,0.030852160845247525,0.028232567611017396
7,0.02839415499733554,0.025906626002064774
8,0.027337116085820727,0.02404305525124073
9,0.024538116736544505,0.023774879252804176
10,0.024603074379560965,0.02414424012282065
11,0.025588426044181226,0.023282206151634455
12,0.024641253261102572,0.022880256974271367
13,0.02275608695806965,0.022462703553693637
14,0.023349795601375047,0.021911218230213438
15,0.0225133215712886,0.02274346404841968
16,0.024306141527458316,0.02142782775419099
17,0.02393062553915476,0.021639898352857147
18,0.022128625735936183,0.02226512586431844
19,0.022144833801402933,0.021887982596776316
