epoch,train_loss,valid_loss
1,0.4752998765971925,0.1746309165443693
2,0.13047790314470017,0.08227965980768204
3,0.08368683529515115,0.05349054400409971
4,0.06285406492413982,0.04834091876234327
5,0.05150090048592242,0.04579399100371769
6,0.04910175576214752,0.04342729811157499
7,0.045921048873828516,0.045041916359748156
8,0.04520560231887632,0.04355107008346489
9,0.042030057478104794,0.04354246625942843
10,0.041515909992749726,0.042739237525633404
11,0.04108339063231907,0.043348885008266995
12,0.04017075996786829,0.04526973382702896
13,0.04098059350831641,0.04436808212527207
14,0.04124920303741145,0.043670635404331345
15,0.0404936166421052,0.04321573009448392
