epoch,train_loss,valid_loss
1,0.47742059353798155,0.4373276574271066
2,0.314428915107061,0.13083567470312119
3,0.08006874477816006,0.053426114576203484
4,0.062028620510347306,0.05026925142322268
5,0.05294852640243277,0.05018520302006176
6,0.052777071941703085,0.047626424580812454
7,0.050004229452165344,0.04874979864273753
8,0.04880787653937226,0.047011426516941617
9,0.049501094109718764,0.047204205500228066
10,0.04557628372299766,0.04858997943145888
11,0.04597012751868793,0.04806047811039856
12,0.046054816553516995,0.048090925706284385
13,0.04693694550189234,0.04763163759240082
